School ID,Name,SEMIS,GPS,Tehsil,UnionCouncil
496,GBPS : FAROOQ ABAD,401010517,"24.6174109144039, 68.9660726484657",Badin,Nindo Shaher
497,GBPS : RAMOON MALLAH,401010550,"24.6044792905111, 68.9787286472337",Badin,Nindo Shaher
498,GBPS : HAJI KHAN JAMALI,401010554,"24.6697723642862, 69.0095499159892",Badin,Nindo Shaher
499,GBPS : MUHAMMAD JAFFER KHASKHELI,401010563,"24.6233410127195, 69.0081685755659",Badin,Nindo Shaher
500,GBPS : SONO KHAN SIYAL,401010566,"24.6643100123431, 69.0004920963445",Badin,Nindo Shaher
501,GBPS : SALEH ABRO,401010568,"24.6435942619546, 68.9690619746831",Badin,Haji Soomar Abro
504,GBPS : ALI MUHAMMED KHASKHELI,401010599,"24.6200467798779, 69.0057223989581",Badin,Nindo Shaher
505,GBPS : JUMOO GUDARO,401010657,"24.6668475163082, 68.9665567867957",Badin,Haji Soomar Abro
507,GBPS : GEDOORO MALLAH,401010670,"24.6241334297803, 69.0273731934035",Badin,Nindo-Tc
508,GBPS : MUHAMMAD YOUSIF JAMALI,401010677,"24.5806389530666, 69.0272310364251",Badin,Nindo Shaher
509,GBPS : JEAND CHALGARI,401010678,"24.6515957617935, 69.0195599177487",Badin,Nindo Shaher
510,GBPS : ALI DINO SHAH,401010771,"24.6394545737699, 68.9747697152682",Badin,Nindo Shaher
512,GBPS : ALLAH BACHAYO PARHERI,401010773,"24.6169123319621, 69.0267267840102",Badin,Nindo Shaher
514,GBPS : GHULAM FAREED SOLANGI,401010776,"24.5958400784152, 69.0574756180275",Badin,Nindo Shaher
515,GBPS : FAZAL MUHAMMAD SALEH,401010779,"24.6382820749264, 68.9751130300774",Badin,Nindo Shaher
516,GBPS : JAVED ALI KHASKHELI,401010780,"24.6581137674772, 69.0264236946894",Badin,Nindo Shaher
517,GBPS : BHANO@MOHAMMAD ALI MEMON,401010786,"24.5704062949447, 69.0625449998186",Badin,Nindo Shaher
519,GBHSS : NINDO SHAHAR,401010832,"24.6414125011216, 69.0404811291963",Badin,Nindo-Tc
520,GBPS : SAYED ABDULLAH SHAH,401010008,"24.5922218608198, 68.9582848517111",Badin,Abdullah Shah
521,GBPS : GHULAM RASOOL MALLAH,401010034,"24.5828451704955, 68.9801233997075",Badin,Abdullah Shah
522,GBPS : QASIM SOOMRO,401010036,"24.6366397502558, 68.9196279267278",Badin,Muhammad Khan Bhurgari
523,GBPS : HASSAN KALHORO,401010039,"24.5988629016478, 68.9695394147932",Badin,Nindo Shaher
524,GBPS : GHULAM RASOOL SHAH,401010042,"24.6107757952099, 68.9300760628779",Badin,Muhammad Khan Bhurgari
525,GBPS : ALLAH DINO ABRO,401010043,"24.6326230965149, 68.9677465622182",Badin,Muhammad Khan Bhurgari
526,GBPS : LATIF KHASKHELI,401010045,"24.5666521861102, 68.9909769588132",Badin,Abdullah Shah
527,GBPS : KANDO CHANDIO,401010047,"24.563129625828, 68.9941580593586",Badin,Abdullah Shah
528,GBPS : HAJI MUHAMMAD BOOHAR,401010067,"24.5587945995216, 68.9907865217116",Badin,Abdullah Shah
